Store#_num,Store Location,Store Address Line 1,Store Address Line 2,Shipping Address Line 1,City,Province,Store Postal Code
136,"MIRAMICHI, NB",2491 KING GEORGE HWY,BRIDGEVIEW PLAZA,"2491 KING GEORGE HWY,  BRIDGEVIEW PLAZA",MIRAMICHI,NB,E1V 6W3
137,"WOODSTOCK, NB",388 CONNELL STREET,,388 CONNELL STREET,WOODSTOCK,NB,E7M 5G9
138,"GRANBY, QC","70, RUE SIMONDS NORD",,"70, RUE SIMONDS NORD",GRANBY,QC,J2J 2L1
139,"KITCHENER EAST, ON",1080 VICTORIA ST. N.,,1080 VICTORIA ST. N.,KITCHENER,ON,N2B 3C4
140,"MILTON, ON",1210 STEELES AVE EAST,,1210 STEELES AVE EAST,MILTON,ON,L9T 6R1
141,"EXETER, ON",100 THAMES ROAD EAST,,100 THAMES ROAD EAST,EXETER,ON,N0M 1S3
142,"AYLMER, ON",605 JOHN ST NORTH (OLD HWY 73),,605 JOHN ST NORTH (OLD HWY 73),AYLMER,ON,N5H 2B6
143,"OAKVILLE, ON",1100 KERR STREET,,1100 KERR STREET,OAKVILLE,ON,L6M 0L4
144,"ST. JOHN'S HEBRON WAY, NL",40 HEBRON WAY,,40 HEBRON WAY,ST. JOHN'S,NL,A1A 0L9
145,"ST. CATHARINES S., ON",300 GLENDALE AVENUE,,300 GLENDALE AVENUE,ST. CATHARINES,ON,L2T 2L5
146,"ESTEVAN, SK",200 KING STREET,,200 KING STREET,ESTEVAN,SK,S4A 2W4
147,"CHATEAUGUAY, QC",140 BLVD. D'ANJOU,,140 BLVD. D'ANJOU,CHATEAUGUAY,QC,J6K 1C4
148,"SOREL & TRACY, QC",280 BOUL. FISET,,280 BOUL. FISET,SOREL-TRACY,QC,J3P 5X7
149,"KIRKLAND, QC",16821 ROUTE TRANSCANADIENNE,,16821 ROUTE TRANSCANADIENNE,KIRKLAND,QC,H9H 5J1
150,"TORONTO, YONGE & CHURCH, ON",839 YONGE ST. (AT DAVENPORT),,839 YONGE ST. (AT DAVENPORT),TORONTO,ON,M4W 2H2
151,"ST. HYACINTHE, QC",5930 RUE MARTINEAU,,5930 RUE MARTINEAU,ST. HYACINTHE,QC,J2R 2H6
152,"MISS. DIXIE & DUNDAS, ON",1156 DUNDAS STREET EAST,,1156 DUNDAS STREET EAST,MISSISSAUGA,ON,L4Y 2C1
153,"ST. JEAN-SUR-RICHELIEU, QC",855 BOUL. DU SEMINAIRE NORD,,855 BOUL. DU SEMINAIRE NORD,ST. JEAN-SUR-RICHELIEU,QC,J3A 1J2
154,"STONEY CREEK, ON",686 QUEENSTON ROAD,,686 QUEENSTON ROAD,HAMILTON,ON,L8G 1A3
155,"LAVAL, STE-DOROTHEE, QC",500 CHOMEDEY (A-13) OUEST,STE DOROTHEE,"500 CHOMEDEY (A-13) OUEST,  STE DOROTHEE",LAVAL,QC,H7X 3S9
156,"THETFORD MINES, QC",70 BOUL. FRONTENAC EST,,70 BOUL. FRONTENAC EST,THETFORD MINES,QC,G6G 1N4
